,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,fold_7,fold_8,fold_9,fold_10
GLCM,0.5777778,0.5294118,0.60714287,0.6,0.6142857,0.53333336,0.6593407,0.5966387,0.71666664,0.5619048
GLCM_HOG_2cells,0.88148147,0.9166667,0.8333333,1.0,0.9814815,1.0,0.88515407,0.95238096,0.98333335,0.95238096
GLCM_HOG_3cells,0.88148147,0.9166667,0.8333333,1.0,0.9814815,1.0,0.88515407,0.95238096,0.98333335,0.95238096
HOG_2cells,1.0,1.0,1.0,1.0,0.9814815,1.0,1.0,1.0,1.0,1.0
HOG_3cells,1.0,1.0,1.0,1.0,0.9814815,1.0,1.0,1.0,1.0,1.0
LBP,1.0,1.0,1.0,1.0,1.0,0.96666664,0.95238096,1.0,1.0,1.0
LBP_GLCM,0.5777778,0.7107843,0.68650794,0.6666667,0.66190475,0.6,0.7106227,0.66386557,0.7722222,0.66190475
LBP_GLCM_HOG_2cells,0.88148147,0.9166667,0.8333333,1.0,0.9814815,1.0,0.88515407,0.95238096,0.98333335,0.95238096
LBP_GLCM_HOG_3cells,0.88148147,0.9166667,0.8333333,1.0,0.9814815,1.0,0.88515407,0.95238096,0.98333335,0.95238096
LBP_HOG_2cells,1.0,1.0,1.0,1.0,0.9814815,1.0,1.0,1.0,1.0,1.0
LBP_HOG_3cells,1.0,1.0,1.0,1.0,0.9814815,1.0,1.0,1.0,1.0,1.0
